timestamp	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	uc1	uc2	uc3	uc4	temp1	temp2	temp3	temp4
timeshifts	0.000000	1.100125	2.200017	3.299909	4.400034	5.499925	6.599817	7.699942	8.799834	9.899726	10.999851	12.099743	13.199635	14.299760	15.399652	16.499776	17.599668	18.699560	19.799685	20.899577	21.999469	23.099594	24.199486	25.299378	26.399503	27.499394	28.599286	29.699411	30.799303	31.899195	32.999320	34.099212	35.199337	36.299229	37.399121	38.499245	39.599137	40.699029	41.799154	42.899046	43.998938	45.099063	46.198955	47.298847	48.398972	49.498864	50.598988	51.698880	52.798772	53.898897	54.998789	56.098681	57.198806	58.298698	59.398590	60.498714	61.598606	62.698498	63.798623	64.898515	65.998407	67.098532	68.198424	69.298549	70.398441	71.498333	72.598457	73.698349	74.798241	75.898366	76.998258	78.098150	79.198275	80.298167	81.398059	82.498183	83.598075	84.697967	85.798092	86.897984
2026.04.20 10:21:11,792662	1.947975	1.991970	2.004013	1.959197	2.158327	2.101986	2.112169	2.245002	2.060120	2.162467	2.368443	2.347688	2.258575	2.304748	2.362501	2.228115	2.344305	2.349358	2.327991	2.350632	2.038238	2.081407	2.229567	2.258945	2.032190	2.039221	1.876506	1.876357	1.670030	1.671855	1.607590	1.740811	1.373236	1.431019	1.413677	1.412297	2.240485	2.180630	2.176904	2.199186	2.090083	2.096127	2.300922	1.970946	1.981846	2.025442	2.030453	2.299682	2.270762	2.173252	2.023721	2.041091	2.137982	2.427379	2.024442	1.857329	1.767720	1.732664	1.775239	1.899607	1.752162	1.563339	1.524003	1.422648	1.481381	1.719687	1.648354	1.701353	1.679114	1.668844	1.677679	1.605252	-0.021637	0.587512	-0.021315	0.590409	65.412699	67.672152	70.238407	72.310906
2026.04.20 10:21:11,792753	1.932506	1.978539	1.975164	1.941391	2.145977	2.094759	2.108232	2.239315	2.054313	2.160039	2.422657	2.384314	2.255343	2.300364	2.425081	2.268191	2.338256	2.341161	2.380598	2.395725	2.037766	2.074141	2.294546	2.316732	2.034526	2.033099	1.949159	1.931416	1.673338	1.670133	1.643191	1.766084	1.381588	1.428019	1.441472	1.422799	2.253910	2.186656	2.184666	2.217101	2.099635	2.111318	2.316359	1.973521	1.986674	2.036716	2.039203	2.305337	2.281238	2.178320	2.035379	2.053023	2.151517	2.439410	2.040108	1.863233	1.772301	1.726648	1.765672	1.902577	1.757803	1.565758	1.528452	1.404902	1.465950	1.712309	1.650672	1.707336	1.685129	1.635067	1.653069	1.590923	-0.021959	0.587834	-0.019383	0.591697	65.363805	67.594695	70.263260	72.429424
2026.04.20 10:21:11,792844	1.924591	1.969269	1.955181	1.923002	2.134541	2.082066	2.076505	2.215229	2.040350	2.147770	2.365773	2.353183	2.244842	2.296413	2.426348	2.286229	2.334349	2.336388	2.435349	2.445143	2.037877	2.062796	2.354620	2.359061	2.034180	2.026064	2.000988	1.967098	1.669562	1.669592	1.670335	1.784671	1.383190	1.425125	1.475306	1.446380	2.261126	2.195490	2.186416	2.233221	2.122689	2.121685	2.325062	1.984254	1.992628	2.053657	2.056519	2.320716	2.290761	2.193366	2.045397	2.061647	2.165001	2.452302	2.049147	1.872434	1.778259	1.736614	1.778064	1.914781	1.765513	1.576328	1.536031	1.408837	1.465980	1.714301	1.662056	1.706389	1.693590	1.617294	1.639057	1.583685	-0.021637	0.588155	-0.018739	0.592663	65.314912	67.620514	70.387523	72.500535
2026.04.20 10:21:11,792935	1.919513	1.965171	1.935128	1.912470	2.125749	2.075001	2.056374	2.200897	2.025857	2.134130	2.311902	2.310191	2.224995	2.276761	2.351931	2.228802	2.310543	2.323736	2.373981	2.404901	2.025990	2.068136	2.367854	2.388151	2.024440	2.025464	2.067276	2.016954	1.668234	1.663451	1.693644	1.796429	1.378053	1.416786	1.498831	1.458587	2.265682	2.195190	2.186632	2.256049	2.135630	2.137201	2.331731	1.988817	1.997232	2.076845	2.074615	2.336513	2.303348	2.206067	2.047165	2.101193	2.177821	2.463983	2.053967	1.877307	1.776979	1.742655	1.781371	1.921422	1.776440	1.584622	1.542836	1.416345	1.477148	1.722815	1.670031	1.714380	1.698303	1.631169	1.650783	1.588581	-0.021959	0.587190	-0.018739	0.592341	65.363805	67.646333	70.486933	72.547942
2026.04.20 10:21:11,793025	1.917974	1.964115	1.919305	1.899332	2.121915	2.075431	2.034117	2.182446	2.018409	2.130053	2.261133	2.275528	2.212886	2.275277	2.298379	2.185967	2.302216	2.317024	2.316440	2.349779	2.012070	2.058696	2.286209	2.321589	2.011210	2.019845	2.018916	2.001410	1.659249	1.661488	1.699767	1.802309	1.375905	1.414567	1.526869	1.473345	2.254803	2.190041	2.181864	2.262674	2.142698	2.139186	2.330658	1.990955	1.995391	2.095221	2.089593	2.344974	2.305305	2.209461	2.054820	2.167679	2.203593	2.479679	2.063470	1.878892	1.776789	1.795211	1.810091	1.941663	1.785953	1.585851	1.541297	1.431313	1.484891	1.733906	1.675074	1.724585	1.706350	1.637988	1.663064	1.596918	-0.021959	0.587512	-0.018739	0.591375	65.388252	67.620514	70.511786	72.595349
2026.04.20 10:21:11,793116	1.924203	1.967443	1.910321	1.897469	2.121915	2.071600	2.017023	2.174976	2.015046	2.128793	2.202008	2.234024	2.214635	2.270560	2.229991	2.140203	2.296341	2.316141	2.260743	2.305712	2.005086	2.052476	2.236847	2.279505	2.003148	2.007935	1.963397	1.954651	1.646299	1.648721	1.656374	1.770614	1.366461	1.411376	1.501466	1.462236	2.241819	2.182401	2.178723	2.268330	2.142698	2.133577	2.321663	1.986116	1.993614	2.110726	2.094189	2.348293	2.300550	2.211967	2.060824	2.218531	2.217881	2.490257	2.069405	1.883911	1.770334	1.866750	1.857560	1.963618	1.789502	1.588648	1.541697	1.462430	1.508646	1.747621	1.684306	1.729936	1.705089	1.656299	1.668900	1.603581	-0.021315	0.587190	-0.019705	0.589765	65.388252	67.620514	70.412375	72.524238
2026.04.20 10:21:11,793207	1.929263	1.974830	1.919097	1.901447	2.128810	2.079766	2.021059	2.173734	2.018787	2.127899	2.165105	2.207946	2.213331	2.271660	2.172208	2.092177	2.292624	2.316173	2.195439	2.252765	2.001933	2.055640	2.168221	2.227478	2.001732	2.012003	1.909138	1.916810	1.637969	1.646070	1.630291	1.752343	1.359195	1.406900	1.470309	1.437855	2.222570	2.169874	2.163235	2.240248	2.121555	2.116968	2.305359	1.977493	1.991122	2.108774	2.095576	2.344659	2.293940	2.209044	2.054025	2.273051	2.228480	2.495301	2.062553	1.876265	1.761280	1.921899	1.896497	1.976414	1.791096	1.591566	1.537292	1.497987	1.534711	1.767839	1.688552	1.734464	1.703551	1.692286	1.695721	1.622571	-0.021315	0.586546	-0.020671	0.588799	65.412699	67.697971	70.437228	72.500535
2026.04.20 10:21:11,793298	1.937141	1.984556	1.928738	1.913764	2.141535	2.086924	2.032527	2.189477	2.027656	2.135930	2.174991	2.216416	2.221219	2.282323	2.162338	2.079359	2.299861	2.318009	2.159095	2.214857	2.003267	2.056151	2.108995	2.174948	2.003094	2.015833	1.843488	1.867690	1.636973	1.647351	1.601822	1.730128	1.357061	1.410256	1.441394	1.421223	2.214769	2.157952	2.158312	2.216401	2.098448	2.094830	2.291179	1.964120	1.975845	2.074687	2.069536	2.318423	2.277248	2.191504	2.046415	2.264052	2.223188	2.486118	2.055257	1.875821	1.754319	1.992174	1.947258	1.985916	1.784333	1.581404	1.530530	1.521729	1.553596	1.779556	1.684236	1.731002	1.693975	1.728550	1.726635	1.638391	-0.021637	0.586546	-0.022603	0.586546	65.388252	67.620514	70.362670	72.429424
2026.04.20 10:21:11,793389	1.947627	1.989728	1.943507	1.923019	2.148604	2.096537	2.041498	2.199397	2.040394	2.147385	2.189560	2.227416	2.234109	2.289014	2.178206	2.093388	2.314719	2.327942	2.168580	2.217258	2.016041	2.063163	2.092728	2.153180	2.004324	2.021636	1.795203	1.830234	1.639415	1.650598	1.577480	1.713762	1.353091	1.415764	1.411107	1.400719	2.211936	2.154774	2.155045	2.197250	2.084599	2.089102	2.281066	1.956541	1.970411	2.053211	2.050208	2.304554	2.262745	2.179162	2.030985	2.204352	2.190703	2.455501	2.039465	1.866673	1.757421	1.960421	1.942526	1.976168	1.778778	1.582409	1.527039	1.549107	1.572648	1.783089	1.678285	1.726022	1.682867	1.750287	1.740801	1.652633	-0.020671	0.586224	-0.022925	0.585902	65.388252	67.672152	70.238407	72.334609
2026.04.20 10:21:11,793480	1.954713	1.996261	1.964490	1.937797	2.159591	2.099003	2.064843	2.213354	2.043772	2.152426	2.208313	2.241225	2.240821	2.298465	2.188804	2.104438	2.321057	2.341048	2.182316	2.233586	2.023100	2.072865	2.105500	2.169535	2.014468	2.030985	1.800092	1.829877	1.644168	1.654283	1.570518	1.711745	1.358553	1.418889	1.390368	1.390835	2.215110	2.153167	2.152869	2.178137	2.073873	2.077830	2.278925	1.955118	1.966300	2.031287	2.035844	2.289217	2.256542	2.167822	2.020520	2.155070	2.174702	2.443915	2.028436	1.857433	1.753474	1.899716	1.891553	1.946809	1.763049	1.574406	1.520072	1.509835	1.549427	1.770971	1.668448	1.722383	1.685300	1.770112	1.754135	1.663114	-0.021315	0.586224	-0.023891	0.585902	65.486040	67.723790	70.163849	72.192388
2026.04.20 10:21:11,793571	1.957051	1.997170	1.985121	1.953583	2.163780	2.105302	2.087437	2.231287	2.056610	2.161896	2.264929	2.277943	2.254582	2.307258	2.237587	2.134764	2.336216	2.347503	2.204636	2.254233	2.030107	2.083370	2.121659	2.181537	2.027784	2.037111	1.811068	1.838853	1.657009	1.665667	1.581514	1.721666	1.365006	1.424547	1.395920	1.393429	2.221488	2.161216	2.160095	2.178559	2.069174	2.079754	2.283374	1.953301	1.969357	2.017849	2.021208	2.282556	2.256380	2.158941	2.020410	2.095514	2.154194	2.427709	2.025054	1.854778	1.756790	1.847787	1.859726	1.932539	1.757098	1.569804	1.520702	1.484004	1.528862	1.750496	1.657858	1.706972	1.674788	1.726613	1.725794	1.643097	-0.021315	0.587190	-0.024213	0.586224	65.412699	67.697971	70.039586	72.192388
